full_name,state,type,party,address,dc_address,url,photoUrl
Chris Pappas,NH,rep,Democrat,452 Cannon House Office Building Washington DC 20515-2901,,https://pappas.house.gov,
Jefferson Van Drew,NJ,rep,Republican,2447 Rayburn House Office Building Washington DC 20515-3002,,https://vandrew.house.gov,
Andy Kim,NJ,sen,Democrat,B40D Dirksen Senate Office Building Washington DC 20510,,https://www.kim.senate.gov,
Mikie Sherrill,NJ,rep,Democrat,1427 Longworth House Office Building Washington DC 20515-3011,,https://sherrill.house.gov,
Susie Lee,NV,rep,Democrat,365 Cannon House Office Building Washington DC 20515-2803,,https://susielee.house.gov,
Alexandria Ocasio-Cortez,NY,rep,Democrat,250 Cannon House Office Building Washington DC 20515-3214,,https://ocasio-cortez.house.gov,
Madeleine Dean,PA,rep,Democrat,150 Cannon House Office Building Washington DC 20515-3804,,https://dean.house.gov,
Chrissy Houlahan,PA,rep,Democrat,1727 Longworth House Office Building Washington DC 20515-3806,,https://houlahan.house.gov,
Daniel Meuser,PA,rep,Republican,350 Cannon House Office Building Washington DC 20515-3809,,https://meuser.house.gov,
John Joyce,PA,rep,Republican,2102 Rayburn House Office Building Washington DC 20515-3813,,https://johnjoyce.house.gov,
Guy Reschenthaler,PA,rep,Republican,2209 Rayburn House Office Building Washington DC 20515-3814,,https://reschenthaler.house.gov,
William R. Timmons IV,SC,rep,Republican,267 Cannon House Office Building Washington DC 20515-4004,,https://timmons.house.gov,
Dusty Johnson,SD,rep,Republican,1714 Longworth House Office Building Washington DC 20515-4100,,https://dustyjohnson.house.gov,
Tim Burchett,TN,rep,Republican,1122 Longworth House Office Building Washington DC 20515-4202,,https://burchett.house.gov,
John W. Rose,TN,rep,Republican,2238 Rayburn House Office Building Washington DC 20515-4206,,https://johnrose.house.gov,
Mark E. Green,TN,rep,Republican,2446 Rayburn House Office Building Washington DC 20515-4207,,https://markgreen.house.gov,
Dan Crenshaw,TX,rep,Republican,248 Cannon House Office Building Washington DC 20515-4302,,https://crenshaw.house.gov,
Lance Gooden,TX,rep,Republican,2431 Rayburn House Office Building Washington DC 20515-4305,,https://gooden.house.gov,
Lizzie Fletcher,TX,rep,Democrat,2004 Rayburn House Office Building Washington DC 20515-4307,,https://fletcher.house.gov,
Veronica Escobar,TX,rep,Democrat,2448 Rayburn House Office Building Washington DC 20515-4316,,https://escobar.house.gov,
Chip Roy,TX,rep,Republican,103 Cannon House Office Building Washington DC 20515-4321,,https://roy.house.gov,
Sylvia R. Garcia,TX,rep,Democrat,2419 Rayburn House Office Building Washington DC 20515-4329,,https://sylviagarcia.house.gov,
Ben Cline,VA,rep,Republican,2443 Rayburn House Office Building Washington DC 20515-4606,,https://cline.house.gov,
Kim Schrier,WA,rep,Democrat,1110 Longworth House Office Building Washington DC 20515-4708,,https://schrier.house.gov,
Bryan Steil,WI,rep,Republican,1526 Longworth House Office Building Washington DC 20515-4901,,https://steil.house.gov,
Carol D. Miller,WV,rep,Republican,465 Cannon House Office Building Washington DC 20515-4801,,https://miller.house.gov,
Rick Scott,FL,sen,Republican,110 Hart Senate Office Building Washington DC 20510,,https://www.rickscott.senate.gov,
Josh Hawley,MO,sen,Republican,115 Russell Senate Office Building Washington DC 20510,,https://www.hawley.senate.gov,
Jared F. Golden,ME,rep,Democrat,1107 Longworth House Office Building Washington DC 20515-1902,,https://golden.house.gov,
Gregory F. Murphy,NC,rep,Republican,407 Cannon House Office Building Washington DC 20515-3303,,https://murphy.house.gov,
Kweisi Mfume,MD,rep,Democrat,2263 Rayburn House Office Building Washington DC 20515-2007,,https://mfume.house.gov,
Thomas P. Tiffany,WI,rep,Republican,451 Cannon House Office Building Washington DC 20515-4907,,https://tiffany.house.gov,
Mark Kelly,AZ,sen,Democrat,516 Hart Senate Office Building Washington DC 20510,,https://www.kelly.senate.gov,
Cynthia M. Lummis,WY,sen,Republican,127A Russell Senate Office Building Washington DC 20510,,https://www.lummis.senate.gov,
Darrell Issa,CA,rep,Republican,2108 Rayburn House Office Building Washington DC 20515-0548,,https://issa.house.gov,
Pete Sessions,TX,rep,Republican,2204 Rayburn House Office Building Washington DC 20515-4317,,https://sessions.house.gov,
David G. Valadao,CA,rep,Republican,2465 Rayburn House Office Building Washington DC 20515-0522,,https://valadao.house.gov,
Tommy Tuberville,AL,sen,Republican,455 Russell Senate Office Building Washington DC 20510,,https://www.tuberville.senate.gov,
John W. Hickenlooper,CO,sen,Democrat,374 Russell Senate Office Building Washington DC 20510,,https://www.hickenlooper.senate.gov,
Bill Hagerty,TN,sen,Republican,251 Russell Senate Office Building Washington DC 20510,,https://www.hagerty.senate.gov,
Barry Moore,AL,rep,Republican,1511 Longworth House Office Building Washington DC 20515-0101,,https://barrymoore.house.gov,
Jay Obernolte,CA,rep,Republican,2433 Rayburn House Office Building Washington DC 20515-0523,,https://obernolte.house.gov,
Young Kim,CA,rep,Republican,2439 Rayburn House Office Building Washington DC 20515-0540,,https://youngkim.house.gov,
Sara Jacobs,CA,rep,Democrat,2348 Rayburn House Office Building Washington DC 20515-0551,,https://sarajacobs.house.gov,
Lauren Boebert,CO,rep,Republican,1713 Longworth House Office Building Washington DC 20515-0604,,https://boebert.house.gov,
Kat Cammack,FL,rep,Republican,2421 Rayburn House Office Building Washington DC 20515-0903,,https://cammack.house.gov,
Scott Franklin,FL,rep,Republican,2301 Rayburn House Office Building Washington DC 20515-0918,,https://franklin.house.gov,
Byron Donalds,FL,rep,Republican,1710 Longworth House Office Building Washington DC 20515-0919,,https://donalds.house.gov,
Carlos A. Gimenez,FL,rep,Republican,448 Cannon House Office Building Washington DC 20515-0001,,https://gimenez.house.gov,
Maria Elvira Salazar,FL,rep,Republican,2162 Rayburn House Office Building Washington DC 20515-0927,,https://salazar.house.gov,
Nikema Williams,GA,rep,Democrat,1406 Longworth House Office Building Washington DC 20515-1005,,https://nikemawilliams.house.gov,
Andrew S. Clyde,GA,rep,Republican,445 Cannon House Office Building Washington DC 20515-1009,,https://clyde.house.gov,
Marjorie Taylor Greene,GA,rep,Republican,2201 Rayburn House Office Building Washington DC 20515-1014,,https://greene.house.gov,
Ashley Hinson,IA,rep,Republican,2458 Rayburn House Office Building Washington DC 20515-1502,,https://hinson.house.gov,
Mariannette Miller-Meeks,IA,rep,Republican,504 Cannon House Office Building Washington DC 20515-1501,,https://millermeeks.house.gov,
Randy Feenstra,IA,rep,Republican,2434 Rayburn House Office Building Washington DC 20515-1504,,https://feenstra.house.gov,
Mary E. Miller,IL,rep,Republican,1740 Longworth House Office Building Washington DC 20515-1315,,https://marymiller.house.gov,
Frank J. Mrvan,IN,rep,Democrat,2441 Rayburn House Office Building Washington DC 20515-1401,,https://mrvan.house.gov,
Victoria Spartz,IN,rep,Republican,1609 Longworth House Office Building Washington DC 20515-1405,,https://spartz.house.gov,
Tracey Mann,KS,rep,Republican,344 Cannon House Office Building Washington DC 20515-1601,,https://mann.house.gov,
Jake Auchincloss,MA,rep,Democrat,1524 Longworth House Office Building Washington DC 20515-2104,,https://auchincloss.house.gov,
Lisa C. McClain,MI,rep,Republican,562 Cannon House Office Building Washington DC 20515-2209,,https://mcclain.house.gov,
Michelle Fischbach,MN,rep,Republican,2229 Rayburn House Office Building Washington DC 20515-2307,,https://fischbach.house.gov,
Deborah K. Ross,NC,rep,Democrat,1221 Longworth House Office Building Washington DC 20515-3302,,https://ross.house.gov,
Teresa Leger Fernandez,NM,rep,Democrat,2417 Rayburn House Office Building Washington DC 20515-3103,,https://fernandez.house.gov,
Andrew R. Garbarino,NY,rep,Republican,2344 Rayburn House Office Building Washington DC 20515-3202,,https://garbarino.house.gov,
Nicole Malliotakis,NY,rep,Republican,1124 Longworth House Office Building Washington DC 20515-3211,,https://malliotakis.house.gov,
Ritchie Torres,NY,rep,Democrat,1414 Longworth House Office Building Washington DC 20515-3215,,https://ritchietorres.house.gov,
Stephanie I. Bice,OK,rep,Republican,2402 Rayburn House Office Building Washington DC 20515-3605,,https://bice.house.gov,
Cliff Bentz,OR,rep,Republican,409 Cannon House Office Building Washington DC 20515-3702,,https://bentz.house.gov,
Nancy Mace,SC,rep,Republican,1728 Longworth House Office Building Washington DC 20515-4001,,https://mace.house.gov,
Diana Harshbarger,TN,rep,Republican,167 Cannon House Office Building Washington DC 20515-4201,,https://harshbarger.house.gov,
Pat Fallon,TX,rep,Republican,2416 Rayburn House Office Building Washington DC 20515-4304,,https://fallon.house.gov,
August Pfluger,TX,rep,Republican,2202 Rayburn House Office Building Washington DC 20515-4311,,https://pfluger.house.gov,
Ronny Jackson,TX,rep,Republican,125 Cannon House Office Building Washington DC 20515-4313,,https://jackson.house.gov,
Troy E. Nehls,TX,rep,Republican,1104 Longworth House Office Building Washington DC 20515-4322,,https://nehls.house.gov,
Tony Gonzales,TX,rep,Republican,2239 Rayburn House Office Building Washington DC 20515-4323,,https://gonzales.house.gov,
Beth Van Duyne,TX,rep,Republican,1725 Longworth House Office Building Washington DC 20515-4324,,https://vanduyne.house.gov,
Blake D. Moore,UT,rep,Republican,1131 Longworth House Office Building Washington DC 20515-4401,,https://blakemoore.house.gov,
Burgess Owens,UT,rep,Republican,309 Cannon House Office Building Washington DC 20515-4404,,https://owens.house.gov,
Marilyn Strickland,WA,rep,Democrat,1724 Longworth House Office Building Washington DC 20515-4710,,https://strickland.house.gov,
Scott Fitzgerald,WI,rep,Republican,2444 Rayburn House Office Building Washington DC 20515-4905,,https://fitzgerald.house.gov,
Alex Padilla,CA,sen,Democrat,331 Hart Senate Office Building Washington DC 20510,,https://www.padilla.senate.gov,
Jon Ossoff,GA,sen,Democrat,303 Hart Senate Office Building Washington DC 20510,,https://www.ossoff.senate.gov,
Raphael G. Warnock,GA,sen,Democrat,416 Russell Senate Office Building Washington DC 20510,,https://www.warnock.senate.gov,
Claudia Tenney,NY,rep,Republican,2230 Rayburn House Office Building Washington DC 20515-3224,,https://tenney.house.gov,
Julia Letlow,LA,rep,Republican,142 Cannon House Office Building Washington DC 20515-1805,,https://letlow.house.gov,
Troy A. Carter,LA,rep,Democrat,442 Cannon House Office Building Washington DC 20515-1802,,https://troycarter.house.gov,
Melanie A. Stansbury,NM,rep,Democrat,1421 Longworth House Office Building Washington DC 20515-3101,,https://stansbury.house.gov,
Jake Ellzey,TX,rep,Republican,1721 Longworth House Office Building Washington DC 20515-4306,,https://ellzey.house.gov,
Shontel M. Brown,OH,rep,Democrat,2455 Rayburn House Office Building Washington DC 20515-3511,,https://shontelbrown.house.gov,
Mike Carey,OH,rep,Republican,1433 Longworth House Office Building Washington DC 20515-3515,,https://carey.house.gov,
Sheila Cherfilus-McCormick,FL,rep,Democrat,2442 Rayburn House Office Building Washington DC 20515-0920,,https://cherfilus-mccormick.house.gov,
Mike Flood,NE,rep,Republican,343 Cannon House Office Building Washington DC 20515-2701,,https://flood.house.gov,
Brad Finstad,MN,rep,Republican,2418 Rayburn House Office Building Washington DC 20515-2301,,https://finstad.house.gov,
Patrick Ryan,NY,rep,Democrat,1708 Longworth House Office Building Washington DC 20515-3218,,https://patryan.house.gov,
Rudy Yakym III,IN,rep,Republican,349 Cannon House Office Building Washington DC 20515-1402,,https://yakym.house.gov,
Ryan K. Zinke,MT,rep,Republican,512 Cannon House Office Building Washington DC 20515-2600,,https://zinke.house.gov,
Katie Boyd Britt,AL,sen,Republican,502 Hart Senate Office Building Washington DC 20510,,https://www.britt.senate.gov,
Eric Schmitt,MO,sen,Republican,387 Russell Senate Office Building Washington DC 20510,,https://www.schmitt.senate.gov,
John Fetterman,PA,sen,Democrat,142 Russell Senate Office Building Washington DC 20510,,https://www.fetterman.senate.gov,
Dale W. Strong,AL,rep,Republican,449 Cannon House Office Building Washington DC 20515-0105,,https://strong.house.gov,
Elijah Crane,AZ,rep,Republican,307 Cannon House Office Building Washington DC 20515-0302,,https://crane.house.gov,
Juan Ciscomani,AZ,rep,Republican,461 Cannon House Office Building Washington DC 20515-0306,,https://ciscomani.house.gov,
Kevin Kiley,CA,rep,Republican,2445 Rayburn House Office Building Washington DC 20515-0503,,https://kiley.house.gov,
Kevin Mullin,CA,rep,Democrat,1404 Longworth House Office Building Washington DC 20515-0515,,https://kevinmullin.house.gov,
Sydney Kamlager-Dove,CA,rep,Democrat,144 Cannon House Office Building Washington DC 20515-0537,,https://kamlager-dove.house.gov,
Robert Garcia,CA,rep,Democrat,109 Cannon House Office Building Washington DC 20515-0542,,https://robertgarcia.house.gov,
Brittany Pettersen,CO,rep,Democrat,348 Cannon House Office Building Washington DC 20515-0607,,https://pettersen.house.gov,
Aaron Bean,FL,rep,Republican,2459 Rayburn House Office Building Washington DC 20515-0904,,https://bean.house.gov,
Cory Mills,FL,rep,Republican,346 Cannon House Office Building Washington DC 20515-0907,,https://mills.house.gov,
Maxwell Frost,FL,rep,Democrat,1224 Longworth House Office Building Washington DC 20515-0910,,https://frost.house.gov,
Anna Paulina Luna,FL,rep,Republican,226 Cannon House Office Building Washington DC 20515-0913,,https://luna.house.gov,
Laurel M. Lee,FL,rep,Republican,2464 Rayburn House Office Building Washington DC 20515-0915,,https://laurellee.house.gov,
Jared Moskowitz,FL,rep,Democrat,242 Cannon House Office Building Washington DC 20515-0923,,https://moskowitz.house.gov,
Richard McCormick,GA,rep,Republican,1719 Longworth House Office Building Washington DC 20515-1007,,https://mccormick.house.gov,
Mike Collins,GA,rep,Republican,2351 Rayburn House Office Building Washington DC 20515-1010,,https://collins.house.gov,
James C. Moylan,GU,rep,Republican,228 Cannon House Office Building Washington DC 20515-5301,,https://moylan.house.gov,
Jill N. Tokuda,HI,rep,Democrat,1027 Longworth House Office Building Washington DC 20515-1102,,https://tokuda.house.gov,
Zachary Nunn,IA,rep,Republican,1410 Longworth House Office Building Washington DC 20515-1503,,https://nunn.house.gov,
Jonathan L. Jackson,IL,rep,Democrat,1632 Longworth House Office Building Washington DC 20515-1301,,https://jonathanjackson.house.gov,
Delia C. Ramirez,IL,rep,Democrat,1523 Longworth House Office Building Washington DC 20515-1303,,https://ramirez.house.gov,
Nikki Budzinski,IL,rep,Democrat,1717 Longworth House Office Building Washington DC 20515-1313,,https://budzinski.house.gov,
Eric Sorensen,IL,rep,Democrat,1314 Longworth House Office Building Washington DC 20515-1317,,https://sorensen.house.gov,
Erin Houchin,IN,rep,Republican,342 Cannon House Office Building Washington DC 20515-1409,,https://houchin.house.gov,
Morgan McGarvey,KY,rep,Democrat,1527 Longworth House Office Building Washington DC 20515-1703,,https://mcgarvey.house.gov,
Glenn Ivey,MD,rep,Democrat,1610 Longworth House Office Building Washington DC 20515-2004,,https://ivey.house.gov,
Hillary J. Scholten,MI,rep,Democrat,1317 Longworth House Office Building Washington DC 20515-2203,,https://scholten.house.gov,
John James,MI,rep,Republican,1519 Longworth House Office Building Washington DC 20515-2210,,https://james.house.gov,
Shri Thanedar,MI,rep,Democrat,154 Cannon House Office Building Washington DC 20515-2213,,https://thanedar.house.gov,
Mark Alford,MO,rep,Republican,328 Cannon House Office Building Washington DC 20515-2504,,https://alford.house.gov,
Eric Burlison,MO,rep,Republican,1108 Longworth House Office Building Washington DC 20515-2507,,https://burlison.house.gov,
Mike Ezell,MS,rep,Republican,443 Cannon House Office Building Washington DC 20515-2404,,https://ezell.house.gov,
Donald G. Davis,NC,rep,Democrat,1123 Longworth House Office Building Washington DC 20515-3301,,https://dondavis.house.gov,
Valerie P. Foushee,NC,rep,Democrat,2452 Rayburn House Office Building Washington DC 20515-3304,,https://foushee.house.gov,
Chuck Edwards,NC,rep,Republican,1505 Longworth House Office Building Washington DC 20515-3311,,https://edwards.house.gov,
"Thomas H. Kean, Jr.",NJ,rep,Republican,251 Cannon House Office Building Washington DC 20515-3007,,https://kean.house.gov,
Robert Menendez,NJ,rep,Democrat,2453 Rayburn House Office Building Washington DC 20515-3008,,https://menendez.house.gov,
Gabe Vasquez,NM,rep,Democrat,322 Cannon House Office Building Washington DC 20515-3102,,https://vasquez.house.gov,
Nick LaLota,NY,rep,Republican,122 Cannon House Office Building Washington DC 20515-3201,,https://lalota.house.gov,
Daniel S. Goldman,NY,rep,Democrat,245 Cannon House Office Building Washington DC 20515-3210,,https://goldman.house.gov,
Michael Lawler,NY,rep,Republican,324 Cannon House Office Building Washington DC 20515-3217,,https://lawler.house.gov,
Nicholas A. Langworthy,NY,rep,Republican,422 Cannon House Office Building Washington DC 20515-3223,,https://langworthy.house.gov,
Greg Landsman,OH,rep,Democrat,2244 Rayburn House Office Building Washington DC 20515-3501,,https://landsman.house.gov,
Max L. Miller,OH,rep,Republican,143 Cannon House Office Building Washington DC 20515-3507,,https://maxmiller.house.gov,
Emilia Strong Sykes,OH,rep,Democrat,1217 Longworth House Office Building Washington DC 20515-3513,,https://sykes.house.gov,
Josh Brecheen,OK,rep,Republican,351 Cannon House Office Building Washington DC 20515-3602,,https://brecheen.house.gov,
Val T. Hoyle,OR,rep,Democrat,1620 Longworth House Office Building Washington DC 20515-3704,,https://hoyle.house.gov,
Andrea Salinas,OR,rep,Democrat,403 Cannon House Office Building Washington DC 20515-0001,,https://salinas.house.gov,
Summer L. Lee,PA,rep,Democrat,2437 Rayburn House Office Building Washington DC 20515-3812,,https://summerlee.house.gov,
Christopher R. Deluzio,PA,rep,Democrat,1222 Longworth House Office Building Washington DC 20515-3817,,https://deluzio.house.gov,
Seth Magaziner,RI,rep,Democrat,252 Cannon House Office Building Washington DC 20515-3902,,https://magaziner.house.gov,
Russell Fry,SC,rep,Republican,345 Cannon House Office Building Washington DC 20515-4007,,https://fry.house.gov,
Andrew Ogles,TN,rep,Republican,151 Cannon House Office Building Washington DC 20515-4205,,https://ogles.house.gov,
Nathaniel Moran,TX,rep,Republican,1605 Longworth House Office Building Washington DC 20515-4301,,https://moran.house.gov,
Keith Self,TX,rep,Republican,1030 Longworth House Office Building Washington DC 20515-4303,,https://keithself.house.gov,
Morgan Luttrell,TX,rep,Republican,444 Cannon House Office Building Washington DC 20515-4308,,https://luttrell.house.gov,
Monica De La Cruz,TX,rep,Republican,1415 Longworth House Office Building Washington DC 20515-4315,,https://delacruz.house.gov,
Jasmine Crockett,TX,rep,Democrat,1616 Longworth House Office Building Washington DC 20515-4330,,https://crockett.house.gov,
Greg Casar,TX,rep,Democrat,446 Cannon House Office Building Washington DC 20515-4335,,https://casar.house.gov,
Wesley Hunt,TX,rep,Republican,1520 Longworth House Office Building Washington DC 20515-0001,,https://hunt.house.gov,
Jennifer A. Kiggans,VA,rep,Republican,152 Cannon House Office Building Washington DC 20515-4602,,https://kiggans.house.gov,
Becca Balint,VT,rep,Democrat,1510 Longworth House Office Building Washington DC 20515-4500,,https://balint.house.gov,
